frame_index,system_relative_time,utc_timestamp,content_width,content_height
211,1294747499233,2026-04-22T04:16:51.810,1920,1080
212,1294748499222,2026-04-22T04:16:51.910,1920,1080
213,1294749499213,2026-04-22T04:16:52.010,1920,1080
214,1294750499219,2026-04-22T04:16:52.110,1920,1080
215,1294751499207,2026-04-22T04:16:52.210,1920,1080
216,1294752499209,2026-04-22T04:16:52.310,1920,1080
217,1294753499198,2026-04-22T04:16:52.410,1920,1080
218,1294754499163,2026-04-22T04:16:52.510,1920,1080
219,1294755499160,2026-04-22T04:16:52.610,1920,1080
220,1294756499160,2026-04-22T04:16:52.710,1920,1080
221,1294757499136,2026-04-22T04:16:52.810,1920,1080
222,1294758499123,2026-04-22T04:16:52.910,1920,1080
223,1294759499110,2026-04-22T04:16:53.010,1920,1080
224,1294760499111,2026-04-22T04:16:53.110,1920,1080
225,1294761499089,2026-04-22T04:16:53.210,1920,1080
226,1294762499076,2026-04-22T04:16:53.310,1920,1080
227,1294763499058,2026-04-22T04:16:53.410,1920,1080
228,1294764499022,2026-04-22T04:16:53.510,1920,1080
229,1294765498997,2026-04-22T04:16:53.610,1920,1080
230,1294766498973,2026-04-22T04:16:53.710,1920,1080
231,1294767498975,2026-04-22T04:16:53.810,1920,1080
232,1294768498968,2026-04-22T04:16:53.910,1920,1080
233,1294769498967,2026-04-22T04:16:54.010,1920,1080
234,1294770498956,2026-04-22T04:16:54.110,1920,1080
235,1294771498956,2026-04-22T04:16:54.210,1920,1080
236,1294772498940,2026-04-22T04:16:54.310,1920,1080
237,1294773498928,2026-04-22T04:16:54.410,1920,1080
238,1294774498901,2026-04-22T04:16:54.510,1920,1080
239,1294775498877,2026-04-22T04:16:54.610,1920,1080
240,1294776498857,2026-04-22T04:16:54.710,1920,1080
241,1294777498835,2026-04-22T04:16:54.810,1920,1080
242,1294778498827,2026-04-22T04:16:54.910,1920,1080
243,1294779498813,2026-04-22T04:16:55.010,1920,1080
244,1294780498785,2026-04-22T04:16:55.110,1920,1080
245,1294781498769,2026-04-22T04:16:55.210,1920,1080
246,1294782498761,2026-04-22T04:16:55.310,1920,1080
247,1294783498756,2026-04-22T04:16:55.410,1920,1080
248,1294784498748,2026-04-22T04:16:55.510,1920,1080
249,1294785498750,2026-04-22T04:16:55.610,1920,1080
250,1294786498732,2026-04-22T04:16:55.710,1920,1080
251,1294787498711,2026-04-22T04:16:55.810,1920,1080
252,1294788498708,2026-04-22T04:16:55.910,1920,1080
253,1294789498698,2026-04-22T04:16:56.010,1920,1080
254,1294790498686,2026-04-22T04:16:56.110,1920,1080
255,1294791498674,2026-04-22T04:16:56.210,1920,1080
256,1294792498661,2026-04-22T04:16:56.310,1920,1080
257,1294793498659,2026-04-22T04:16:56.410,1920,1080
258,1294794498650,2026-04-22T04:16:56.510,1920,1080
259,1294795498643,2026-04-22T04:16:56.610,1920,1080
260,1294796498622,2026-04-22T04:16:56.710,1920,1080
261,1294797498602,2026-04-22T04:16:56.810,1920,1080
262,1294798498587,2026-04-22T04:16:56.910,1920,1080
263,1294799498581,2026-04-22T04:16:57.010,1920,1080
264,1294800498564,2026-04-22T04:16:57.110,1920,1080
265,1294801498545,2026-04-22T04:16:57.210,1920,1080
266,1294802498534,2026-04-22T04:16:57.310,1920,1080
267,1294803498526,2026-04-22T04:16:57.410,1920,1080
268,1294804498518,2026-04-22T04:16:57.510,1920,1080
269,1294805498501,2026-04-22T04:16:57.610,1920,1080
270,1294806498474,2026-04-22T04:16:57.710,1920,1080
271,1294807498461,2026-04-22T04:16:57.810,1920,1080
272,1294808498435,2026-04-22T04:16:57.910,1920,1080
273,1294809498427,2026-04-22T04:16:58.010,1920,1080
274,1294810498425,2026-04-22T04:16:58.110,1920,1080
275,1294811498415,2026-04-22T04:16:58.210,1920,1080
276,1294812498424,2026-04-22T04:16:58.310,1920,1080
277,1294813498405,2026-04-22T04:16:58.410,1920,1080
278,1294814498387,2026-04-22T04:16:58.510,1920,1080
279,1294815498373,2026-04-22T04:16:58.610,1920,1080
280,1294816498354,2026-04-22T04:16:58.710,1920,1080
281,1294817498335,2026-04-22T04:16:58.810,1920,1080
282,1294818498305,2026-04-22T04:16:58.910,1920,1080
283,1294819498293,2026-04-22T04:16:59.010,1920,1080
284,1294820498279,2026-04-22T04:16:59.110,1920,1080
285,1294821498264,2026-04-22T04:16:59.210,1920,1080
286,1294822498248,2026-04-22T04:16:59.310,1920,1080
287,1294824831583,2026-04-22T04:16:59.543,1920,1080
288,1294825498142,2026-04-22T04:16:59.610,1920,1080
289,1294826498245,2026-04-22T04:16:59.710,1920,1080
290,1294827498156,2026-04-22T04:16:59.810,1920,1080
291,1294828498089,2026-04-22T04:16:59.910,1920,1080
292,1294829498071,2026-04-22T04:17:00.010,1920,1080
293,1294830498034,2026-04-22T04:17:00.110,1920,1080
294,1294831497993,2026-04-22T04:17:00.210,1920,1080
295,1294832497976,2026-04-22T04:17:00.310,1920,1080
296,1294833497958,2026-04-22T04:17:00.410,1920,1080
297,1294834497956,2026-04-22T04:17:00.510,1920,1080
298,1294835497934,2026-04-22T04:17:00.610,1920,1080
299,1294836497933,2026-04-22T04:17:00.710,1920,1080
300,1294837497914,2026-04-22T04:17:00.810,1920,1080
301,1294838497915,2026-04-22T04:17:00.910,1920,1080
302,1294839497928,2026-04-22T04:17:01.010,1920,1080
303,1294840497907,2026-04-22T04:17:01.110,1920,1080
304,1294841497898,2026-04-22T04:17:01.210,1920,1080
305,1294842497905,2026-04-22T04:17:01.310,1920,1080
306,1294843497889,2026-04-22T04:17:01.410,1920,1080
307,1294844497893,2026-04-22T04:17:01.510,1920,1080
308,1294845497882,2026-04-22T04:17:01.610,1920,1080
309,1294846497875,2026-04-22T04:17:01.710,1920,1080
310,1294847497850,2026-04-22T04:17:01.810,1920,1080
